时区     : UTC +8:00


Time              Azm  Elv  Mag Range S.Azm S.Elv
--------------------------------------------------------------------------
07:08:31        130.7 10.0 11.2  1969  80.6  21.7
07:12:06         74.0 26.2 10.1  1205  81.0  22.5
07:15:42         17.2 10.0 11.1  1978  81.5  23.2

08:45:03        220.5 10.1 11.2  1966  92.8  42.1
08:48:08        266.8 19.2 10.5  1458  93.3  42.7
08:51:14        313.1 10.1 11.1  1974  93.7  43.4

20:33:55          1.1 10.1 10.2  1963 306.3 -17.3
20:38:07        282.4 59.0  7.9   702 307.0 -18.0
20:42:18        203.1 10.1 10.0  1953 307.8 -18.7

07:22:06        145.0 10.1 11.2  1965  82.5  24.5
07:26:06         75.9 39.5  9.5   913  82.9  25.3
07:30:07          7.1 10.0 11.1  1976  83.4  26.2

09:00:26        242.5 10.0 11.2  1971  95.4  45.2
09:02:19        268.7 12.6 11.0  1802  95.7  45.6
09:04:12        294.9 10.0 11.2  1974  96.0  46.0

19:13:56         63.2 10.0 10.1  1963 294.0  -2.7
19:15:56         91.4 13.0  9.9  1766 294.2  -3.1
19:17:56        119.6 10.0 10.0  1958 294.5  -3.5

20:48:11        351.8 10.1 10.2  1966 308.7 -19.8
20:52:08        284.5 37.6  8.5   937 309.4 -20.5
20:56:05        216.5 10.0 10.0  1956 310.1 -21.1

07:35:54        158.3 10.1 11.1  1963  84.4  27.3
07:40:07         78.5 62.0  8.9   689  84.9  28.2
07:44:22        357.9 10.1 11.1  1974  85.4  29.1

19:26:58         45.7 10.1 10.2  1964 295.6  -5.4
19:30:07         93.4 19.8  9.4  1422 296.0  -6.0
19:33:15        141.0 10.0 10.0  1956 296.5  -6.6

21:02:37        341.5 10.0 10.2  1968 311.1 -22.4
21:06:08        286.2 25.1  9.1  1233 311.8 -22.9
21:09:37        231.1 10.1 10.0  1954 312.5 -23.5


数据含义见附件2-1.



