FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp
FA2,8/12/2021,10:10,PGX,8/12/2021,11:40,NKX,C1F1
FA3,8/12/2021,10:25,PGX,8/12/2021,11:40,NKX,C1F1
FA680,8/11/2021,8:00,NKX,8/11/2021,9:30,PGX,C1F1
FA680,8/12/2021,8:00,NKX,8/12/2021,9:30,PGX,C1F1
FA680,8/13/2021,8:00,NKX,8/13/2021,9:30,PGX,C1F1
FA680,8/14/2021,8:00,NKX,8/14/2021,9:30,PGX,C1F1
FA680,8/15/2021,8:00,NKX,8/15/2021,9:30,PGX,C1F1
FA680,8/16/2021,8:00,NKX,8/16/2021,9:30,PGX,C1F1
FA680,8/17/2021,8:00,NKX,8/17/2021,9:30,PGX,C1F1
FA680,8/18/2021,8:00,NKX,8/18/2021,9:30,PGX,C1F1
FA680,8/19/2021,8:00,NKX,8/19/2021,9:30,PGX,C1F1
FA680,8/20/2021,8:00,NKX,8/20/2021,9:30,PGX,C1F1
FA680,8/21/2021,8:00,NKX,8/21/2021,9:30,PGX,C1F1
FA680,8/22/2021,8:00,NKX,8/22/2021,9:30,PGX,C1F1
FA680,8/23/2021,8:00,NKX,8/23/2021,9:30,PGX,C1F1
FA680,8/24/2021,8:00,NKX,8/24/2021,9:30,PGX,C1F1
FA680,8/25/2021,8:00,NKX,8/25/2021,9:30,PGX,C1F1
FA681,8/11/2021,10:10,PGX,8/11/2021,11:40,NKX,C1F1
FA681,8/12/2021,10:10,PGX,8/12/2021,11:40,NKX,C1F1
FA681,8/13/2021,10:10,PGX,8/13/2021,11:40,NKX,C1F1
FA681,8/14/2021,10:10,PGX,8/14/2021,11:40,NKX,C1F1
FA681,8/15/2021,10:10,PGX,8/15/2021,11:40,NKX,C1F1
FA681,8/16/2021,10:10,PGX,8/16/2021,11:40,NKX,C1F1
FA681,8/17/2021,10:10,PGX,8/17/2021,11:40,NKX,C1F1
FA681,8/18/2021,10:10,PGX,8/18/2021,11:40,NKX,C1F1
FA681,8/19/2021,10:10,PGX,8/19/2021,11:40,NKX,C1F1
FA681,8/20/2021,10:10,PGX,8/20/2021,11:40,NKX,C1F1
FA681,8/21/2021,10:10,PGX,8/21/2021,11:40,NKX,C1F1
FA681,8/22/2021,10:10,PGX,8/22/2021,11:40,NKX,C1F1
FA681,8/23/2021,10:10,PGX,8/23/2021,11:40,NKX,C1F1
FA681,8/24/2021,10:10,PGX,8/24/2021,11:40,NKX,C1F1
FA681,8/25/2021,10:10,PGX,8/25/2021,11:40,NKX,C1F1
FA812,8/11/2021,12:20,NKX,8/11/2021,14:05,PDK,C1F1
FA812,8/12/2021,12:20,NKX,8/12/2021,14:05,PDK,C1F1
FA812,8/13/2021,12:20,NKX,8/13/2021,14:05,PDK,C1F1
FA812,8/14/2021,12:20,NKX,8/14/2021,14:05,PDK,C1F1
FA812,8/15/2021,12:20,NKX,8/15/2021,14:05,PDK,C1F1
FA812,8/16/2021,12:20,NKX,8/16/2021,14:05,PDK,C1F1
FA812,8/17/2021,12:20,NKX,8/17/2021,14:05,PDK,C1F1
FA812,8/18/2021,12:20,NKX,8/18/2021,14:05,PDK,C1F1
FA812,8/19/2021,12:20,NKX,8/19/2021,14:05,PDK,C1F1
FA812,8/20/2021,12:20,NKX,8/20/2021,14:05,PDK,C1F1
FA812,8/21/2021,12:20,NKX,8/21/2021,14:05,PDK,C1F1
FA812,8/22/2021,12:20,NKX,8/22/2021,14:05,PDK,C1F1
FA812,8/23/2021,12:20,NKX,8/23/2021,14:05,PDK,C1F1
FA812,8/24/2021,12:20,NKX,8/24/2021,14:05,PDK,C1F1
FA812,8/25/2021,12:20,NKX,8/25/2021,14:05,PDK,C1F1
FA813,8/11/2021,14:50,PDK,8/11/2021,16:40,NKX,C1F1
FA813,8/12/2021,14:50,PDK,8/12/2021,16:40,NKX,C1F1
FA813,8/13/2021,14:50,PDK,8/13/2021,16:40,NKX,C1F1
FA813,8/14/2021,14:50,PDK,8/14/2021,16:40,NKX,C1F1
FA813,8/15/2021,14:50,PDK,8/15/2021,16:40,NKX,C1F1
FA813,8/16/2021,14:50,PDK,8/16/2021,16:40,NKX,C1F1
FA813,8/17/2021,14:50,PDK,8/17/2021,16:40,NKX,C1F1
FA813,8/18/2021,14:50,PDK,8/18/2021,16:40,NKX,C1F1
FA813,8/19/2021,14:50,PDK,8/19/2021,16:40,NKX,C1F1
FA813,8/20/2021,14:50,PDK,8/20/2021,16:40,NKX,C1F1
FA813,8/21/2021,14:50,PDK,8/21/2021,16:40,NKX,C1F1
FA813,8/22/2021,14:50,PDK,8/22/2021,16:40,NKX,C1F1
FA813,8/23/2021,14:50,PDK,8/23/2021,16:40,NKX,C1F1
FA813,8/24/2021,14:50,PDK,8/24/2021,16:40,NKX,C1F1
FA813,8/25/2021,14:50,PDK,8/25/2021,16:40,NKX,C1F1
FA854,8/11/2021,17:20,NKX,8/11/2021,19:00,CTH,C1F1
FA854,8/12/2021,13:50,NKX,8/12/2021,15:30,CTH,C1F1
FA854,8/13/2021,13:50,NKX,8/13/2021,15:30,CTH,C1F1
FA854,8/14/2021,13:50,NKX,8/14/2021,15:30,CTH,C1F1
FA854,8/15/2021,13:50,NKX,8/15/2021,15:30,CTH,C1F1
FA854,8/16/2021,13:50,NKX,8/16/2021,15:30,CTH,C1F1
FA854,8/17/2021,13:50,NKX,8/17/2021,15:30,CTH,C1F1
FA854,8/18/2021,13:50,NKX,8/18/2021,15:30,CTH,C1F1
FA854,8/19/2021,13:50,NKX,8/19/2021,15:30,CTH,C1F1
FA854,8/20/2021,13:50,NKX,8/20/2021,15:30,CTH,C1F1
FA854,8/21/2021,13:50,NKX,8/21/2021,15:30,CTH,C1F1
FA854,8/22/2021,13:50,NKX,8/22/2021,15:30,CTH,C1F1
FA854,8/23/2021,13:50,NKX,8/23/2021,15:30,CTH,C1F1
FA854,8/24/2021,13:50,NKX,8/24/2021,15:30,CTH,C1F1
FA854,8/25/2021,13:50,NKX,8/25/2021,15:30,CTH,C1F1
FA855,8/11/2021,19:45,CTH,8/11/2021,21:30,NKX,C1F1
FA855,8/12/2021,16:10,CTH,8/12/2021,17:55,NKX,C1F1
FA855,8/13/2021,16:10,CTH,8/13/2021,17:55,NKX,C1F1
FA855,8/14/2021,16:10,CTH,8/14/2021,17:55,NKX,C1F1
FA855,8/15/2021,16:10,CTH,8/15/2021,17:55,NKX,C1F1
FA855,8/16/2021,16:10,CTH,8/16/2021,17:55,NKX,C1F1
FA855,8/17/2021,16:10,CTH,8/17/2021,17:55,NKX,C1F1
FA855,8/18/2021,16:10,CTH,8/18/2021,17:55,NKX,C1F1
FA855,8/19/2021,16:10,CTH,8/19/2021,17:55,NKX,C1F1
FA855,8/20/2021,16:10,CTH,8/20/2021,17:55,NKX,C1F1
FA855,8/21/2021,16:10,CTH,8/21/2021,17:55,NKX,C1F1
FA855,8/22/2021,16:10,CTH,8/22/2021,17:55,NKX,C1F1
FA855,8/23/2021,16:10,CTH,8/23/2021,17:55,NKX,C1F1
FA855,8/24/2021,16:10,CTH,8/24/2021,17:55,NKX,C1F1
FA855,8/25/2021,16:10,CTH,8/25/2021,17:55,NKX,C1F1
FA864,8/11/2021,17:30,NKX,8/11/2021,19:15,PXB,C1F1
FA864,8/12/2021,17:30,NKX,8/12/2021,19:15,PXB,C1F1
FA864,8/13/2021,17:30,NKX,8/13/2021,19:15,PXB,C1F1
FA864,8/14/2021,17:30,NKX,8/14/2021,19:15,PXB,C1F1
FA864,8/15/2021,17:30,NKX,8/15/2021,19:15,PXB,C1F1
FA864,8/16/2021,17:30,NKX,8/16/2021,19:15,PXB,C1F1
FA864,8/17/2021,17:30,NKX,8/17/2021,19:15,PXB,C1F1
FA864,8/18/2021,17:30,NKX,8/18/2021,19:15,PXB,C1F1
FA864,8/19/2021,17:30,NKX,8/19/2021,19:15,PXB,C1F1
FA864,8/20/2021,17:30,NKX,8/20/2021,19:15,PXB,C1F1
FA864,8/21/2021,17:30,NKX,8/21/2021,19:15,PXB,C1F1
FA864,8/22/2021,17:30,NKX,8/22/2021,19:15,PXB,C1F1
FA864,8/23/2021,17:30,NKX,8/23/2021,19:15,PXB,C1F1
FA864,8/24/2021,17:30,NKX,8/24/2021,19:15,PXB,C1F1
FA864,8/25/2021,17:30,NKX,8/25/2021,19:15,PXB,C1F1
FA865,8/11/2021,20:00,PXB,8/11/2021,21:45,NKX,C1F1
FA865,8/12/2021,20:00,PXB,8/12/2021,21:45,NKX,C1F1
FA865,8/13/2021,20:00,PXB,8/13/2021,21:45,NKX,C1F1
