FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp
FB8559,8/1/2019,0:05,HOM,8/1/2019,2:05,SXA,C1F1
FB8559,8/2/2019,0:05,HOM,8/2/2019,2:05,SXA,C1F1
FB8559,8/3/2019,0:05,HOM,8/3/2019,2:05,SXA,C1F1
FB8559,8/6/2019,0:05,HOM,8/6/2019,2:05,SXA,C1F1
FB8559,8/7/2019,0:05,HOM,8/7/2019,2:05,SXA,C1F1
FB8559,8/8/2019,0:05,HOM,8/8/2019,2:05,SXA,C1F1
FB8559,8/9/2019,0:05,HOM,8/9/2019,2:05,SXA,C1F1
FB8559,8/10/2019,0:05,HOM,8/10/2019,2:05,SXA,C1F1
FB8559,8/13/2019,0:05,HOM,8/13/2019,2:05,SXA,C1F1
FB8559,8/14/2019,0:05,HOM,8/14/2019,2:05,SXA,C1F1
FB8559,8/15/2019,0:05,HOM,8/15/2019,2:05,SXA,C1F1
FB8559,8/16/2019,0:05,HOM,8/16/2019,2:05,SXA,C1F1
FB8559,8/17/2019,0:05,HOM,8/17/2019,2:05,SXA,C1F1
FB8559,8/20/2019,0:05,HOM,8/20/2019,2:05,SXA,C1F1
FB8559,8/21/2019,0:05,HOM,8/21/2019,2:05,SXA,C1F1
FB8559,8/22/2019,0:05,HOM,8/22/2019,2:05,SXA,C1F1
FB8559,8/23/2019,0:05,HOM,8/23/2019,2:05,SXA,C1F1
FB8559,8/24/2019,0:05,HOM,8/24/2019,2:05,SXA,C1F1
FB8559,8/27/2019,0:05,HOM,8/27/2019,2:05,SXA,C1F1
FB8559,8/28/2019,0:05,HOM,8/28/2019,2:05,SXA,C1F1
FB8559,8/29/2019,0:05,HOM,8/29/2019,2:05,SXA,C1F1
FB8559,8/30/2019,0:05,HOM,8/30/2019,2:05,SXA,C1F1
FB8559,8/31/2019,0:05,HOM,8/31/2019,2:05,SXA,C1F1
FB8567,8/1/2019,0:35,XXJ,8/1/2019,2:25,SXA,C1F1
FB8567,8/2/2019,0:35,XXJ,8/2/2019,2:25,SXA,C1F1
FB8567,8/3/2019,0:35,XXJ,8/3/2019,2:25,SXA,C1F1
FB8567,8/6/2019,0:35,XXJ,8/6/2019,2:25,SXA,C1F1
FB8567,8/7/2019,0:35,XXJ,8/7/2019,2:25,SXA,C1F1
FB8567,8/8/2019,0:35,XXJ,8/8/2019,2:25,SXA,C1F1
FB8567,8/9/2019,0:35,XXJ,8/9/2019,2:25,SXA,C1F1
FB8567,8/10/2019,0:35,XXJ,8/10/2019,2:25,SXA,C1F1
FB8567,8/13/2019,0:35,XXJ,8/13/2019,2:25,SXA,C1F1
FB8567,8/14/2019,0:35,XXJ,8/14/2019,2:25,SXA,C1F1
FB8567,8/15/2019,0:35,XXJ,8/15/2019,2:25,SXA,C1F1
FB8567,8/16/2019,0:35,XXJ,8/16/2019,2:25,SXA,C1F1
FB8567,8/17/2019,0:35,XXJ,8/17/2019,2:25,SXA,C1F1
FB8567,8/20/2019,0:35,XXJ,8/20/2019,2:25,SXA,C1F1
FB8567,8/21/2019,0:35,XXJ,8/21/2019,2:25,SXA,C1F1
FB8567,8/22/2019,0:35,XXJ,8/22/2019,2:25,SXA,C1F1
FB8567,8/23/2019,0:35,XXJ,8/23/2019,2:25,SXA,C1F1
FB8567,8/24/2019,0:35,XXJ,8/24/2019,2:25,SXA,C1F1
FB8567,8/27/2019,0:35,XXJ,8/27/2019,2:25,SXA,C1F1
