item_id,item_material,item_num,item_length,item_width,item_order
25091,NBSY-0218SD,1,921,567,order162
25092,NBSY-0218SD,1,1198,383,order114
25093,NBSY-0218SD,1,2301,400,order49
25094,NBSY-0218SD,1,2138,58,order76
25095,NBSY-0218SD,1,811,535,order76
25096,NBSY-0218SD,1,488,158,order477
25097,NBSY-0218SD,1,444.5,128,order489
25098,NBSY-0218SD,1,1472,58,order559
25099,NBSY-0218SD,1,388,78,order597
25100,NBSY-0218SD,1,198,716,order559
25102,NBSY-0218SD,1,764,555,order553
25103,NBSY-0218SD,1,351,347,order326
25104,NBSY-0218SD,1,387,439,order543
25105,NBSY-0218SD,1,618,38,order162
25106,NBSY-0218SD,1,533.5,394,order100
25107,NBSY-0218SD,1,930,471.5,order100
25108,NBSY-0218SD,1,770,58,order163
25109,NBSY-0218SD,1,372,339,order358
25110,NBSY-0218SD,1,133,558,order494
25111,NBSY-0218SD,1,229,279.5,order185
25112,NBSY-0218SD,1,721,966,order586
25113,NBSY-0218SD,1,357,792,order377
25114,NBSY-0218SD,1,795.5,385,order78
25115,NBSY-0218SD,1,950,58,order416
25116,NBSY-0218SD,1,392,318,order556
25117,NBSY-0218SD,1,488,78,order79
25118,NBSY-0218SD,1,452,229,order429
25119,NBSY-0218SD,1,1839,118,order429
25120,NBSY-0218SD,1,2360,357,order376
25121,NBSY-0218SD,1,2218,58,order79
25122,NBSY-0218SD,1,400,58,order49
25123,NBSY-0218SD,1,1391.5,885,order392
25124,NBSY-0218SD,1,2398,38,order596
25125,NBSY-0218SD,1,2241,400,order80
25126,NBSY-0218SD,1,2438,38,order553
25127,NBSY-0218SD,1,677,426.5,order601
25128,NBSY-0218SD,1,822,58,order50
25129,NBSY-0218SD,1,883,38,order392
25130,NBSY-0218SD,1,1220,38,order392
25131,NBSY-0218SD,1,1011,58,order370
25132,NBSY-0218SD,1,790,359.5,order413
25133,NBSY-0218SD,1,438,158,order163
25134,NBSY-0218SD,1,432,545,order597
25135,NBSY-0218SD,1,1202,58,order413
25136,NBSY-0218SD,1,766,338,order600
