item_id,item_material,item_num,item_length,item_width,item_order
0,YSH-0218S,1,1998.0,562.0,order91
1,HT9-0218S,1,622.0,176.0,order396
2,XXB-0218S,1,288.0,474.8,order376
3,YSH-0218S,1,298.0,294.5,order179
4,YSH-0225S,1,1237.5,558.0,order194
5,YSH-0218S,1,646.0,521.0,order138
6,YSH-0215S,1,1080.0,685.0,order133
7,YSH-0218S,1,903.5,613.0,order231
8,YSH-0215S,1,623.0,52.5,order25
9,JH-0218S,1,1033.0,326.0,order182
10,YSH-0215S,1,288.0,238.0,order137
11,YSH-0218SD,1,2208.0,997.0,order266
12,YSH-0218SD,1,1988.0,58.0,order179
14,YDH-0218S,1,482.0,167.0,order92
15,YSH-0218S,1,388.0,290.0,order401
16,HT9-0218S,1,2377.0,598.0,order106
17,HT9-0215S,1,338.0,118.0,order396
18,YSH-0218S,1,1514.0,375.0,order401
19,YSH-0215S,1,815.0,439.0,order314
20,YSH-0215S,1,488.0,118.0,order394
21,YSH-0218S,1,771.0,555.0,order141
22,HT9-0225S,1,1188.0,580.0,order290
23,YSH-0218S,1,304.0,48.0,order25
24,YSH-0215S,1,492.5,771.0,order25
25,YSH-0218SD,1,762.0,535.0,order104
26,XYHX-0218S,1,705.0,297.0,order25
27,YSH-0218S,1,1058.0,38.0,order303
28,YSH-0218S,1,748.0,310.0,order352
29,YSH-0218S,1,272.0,274.5,order182
30,YDH-0218S,1,961.0,1156.0,order93
31,NSLH-0218S,1,1034.0,277.5,order377
32,YSH-0218SD,1,1988.0,58.0,order179
33,HT9-0218S,1,836.0,58.0,order74
35,PGBL-0418S,1,642.5,478.0,order380
36,YSH-0218S,1,736.5,426.3,order136
37,YSH-0218S,1,844.0,98.0,order136
39,HT9-0215S,1,1549.5,502.0,order132
40,NSLH-0215S,1,419.5,749.0,order374
41,HT9-0218S,1,494.5,427.5,order74
42,HT9-0215S,1,901.5,980.0,order397
44,HT9-0215S,1,438.0,118.0,order73
45,HT9-0218S,1,447.0,375.0,order74
46,YSH-0218S,1,1558.0,348.0,order204
47,HT9-0218S,1,871.0,510.0,order124
48,YSH-0218SD,1,873.0,78.0,order104
49,HT9-0218S,1,476.0,560.0,order316
51,YSH-0218SD,1,729.5,445.0,order137
52,YSH-0218S,1,861.0,307.5,order137
53,YDH-0215S,1,1901.0,482.0,order92
54,NSLH-0218S,1,1303.0,58.0,order375
55,YSH-0218S,1,546.0,580.0,order210
56,YSH-0215S,1,502.0,339.0,order83
57,YSH-0218SD,1,355.0,777.0,order393
58,NSLH-0218S,1,462.0,429.0,order267
59,YSH-0218S,1,608.0,558.0,order194
60,YSH-0218S,1,1252.0,579.0,order13
61,YSH-0215S,1,178.0,714.0,order194
62,HT9-0218S,1,379.5,288.0,order132
63,HT9-0215S,1,2241.0,812.5,order132
64,HT9-0218S,1,424.0,540.0,order147
65,HT9-0218S,1,708.5,378.0,order380
66,PGBL-0418S,1,642.5,476.0,order380
67,NSLH-0218S,1,409.0,579.0,order373
68,NSLH-0218S,1,773.0,38.0,order375
69,NSLH-0218S,1,447.0,304.0,order373
70,YSH-0215S,1,604.0,389.0,order221
71,HT9-0218S,1,871.0,527.0,order124
72,PGBL-0418S,1,344.0,357.5,order263
73,YSH-0218S,1,1198.0,830.0,order105
74,YSH-0218S,1,714.0,557.0,order194
75,YSH-0215S,1,485.0,52.5,order142
