BLOCK,TCAM,HASH,ALU,QUALIFY
0,0,0,2,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,10,3
5,0,0,6,0
6,0,0,0,0
7,0,0,3,4
8,0,0,4,4
9,0,0,0,0
10,0,0,7,3
11,0,0,0,0
12,0,0,5,1
13,0,0,0,0
14,0,0,2,2
15,0,0,3,0
16,0,0,2,0
17,0,0,0,0
18,0,0,0,0
19,0,0,16,4
20,0,0,0,0
21,0,0,2,3
22,0,0,1,0
23,0,2,3,0
24,0,0,0,0
25,0,0,6,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,1
29,0,0,11,0
30,0,0,0,0
31,1,0,2,0
32,0,0,0,0
33,0,1,9,0
34,0,0,0,0
35,0,0,2,0
36,0,0,0,0
37,0,1,6,0
38,0,0,0,0
39,0,1,6,0
40,0,0,0,0
41,0,1,5,0
42,0,0,0,0
43,0,1,6,0
44,0,0,0,0
45,0,1,6,0
46,0,0,0,0
47,0,0,1,0
48,0,0,0,0
49,0,0,8,0
50,0,0,0,0
51,0,0,2,0
52,0,0,0,0
53,0,0,0,0
54,0,2,5,2
55,0,0,0,0
56,0,2,4,2
57,0,0,9,3
58,0,0,3,0
59,0,0,0,2
60,0,0,0,0
61,0,0,2,5
62,0,0,0,1
63,0,0,0,0
64,0,0,1,1
65,0,0,0,0
66,0,2,2,1
67,0,0,0,1
68,0,0,0,0
69,1,0,7,0
70,0,0,0,0
71,0,0,1,0
72,0,0,6,0
73,0,0,0,0
74,0,0,0,1
75,0,0,1,1
76,0,0,2,8
77,1,0,7,1
78,0,0,2,1
79,0,0,0,0
80,0,0,0,1
81,0,0,2,0
82,0,0,0,0
83,0,0,0,1
84,0,0,1,1
85,0,0,2,1
86,0,0,0,2
87,0,0,0,0
88,0,0,5,2
89,0,0,2,5
90,0,0,3,6
91,0,1,1,0
92,0,0,0,0
93,0,1,1,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,1,2
98,0,0,2,5
99,0,0,2,1
100,0,0,1,2
101,0,0,2,1
102,0,0,1,0
103,0,0,2,0
104,0,0,7,0
105,0,0,2,0
106,0,0,0,0
107,0,0,2,0
108,0,0,7,0
109,0,0,2,0
110,0,0,0,0
111,0,0,2,0
112,0,0,7,0
113,0,0,2,0
114,0,0,0,0
115,0,0,2,0
116,0,0,7,0
117,0,0,2,0
118,0,0,0,0
119,0,0,2,0
120,0,0,7,0
121,0,0,2,0
122,0,0,0,0
123,0,0,7,0
124,0,0,2,0
